No.,时间( s) ,变形( mm) ,力( kgf) ,应力( MPa) ,应变( %) 
1,0,0,0,0,0
2,0.124,0,0,0,0
3,0.148,0,0,0,0
4,0.172,0,0,0,0
5,0.213,0,0,0,0
6,0.244,0,0.02,0.005,0
7,0.344,0,0.02,0.005,0
8,0.372,0,0.02,0.005,0
9,0.404,0,0.02,0.005,0
10,0.478,0,0.02,0.005,0
11,0.508,0,0.02,0.005,0
12,0.54,0,0.02,0.005,0
13,0.59,0,0.04,0.01,0
14,0.62,0,0.06,0.015,0
15,0.652,0.001,0.08,0.02,0.001
16,0.706,0.002,0.16,0.039,0.002
17,0.732,0.003,0.24,0.059,0.003
18,0.764,0.004,0.34,0.083,0.004
19,0.831,0.005,0.46,0.113,0.005
20,0.86,0.006,0.6,0.147,0.006
21,0.892,0.007,0.7,0.172,0.007
22,0.966,0.009,0.78,0.191,0.009
23,0.996,0.009,0.84,0.206,0.009
24,1.02,0.01,0.88,0.216,0.01
25,1.081,0.012,0.9,0.221,0.012
26,1.108,0.012,0.94,0.23,0.012
27,1.14,0.013,1,0.245,0.013
28,1.24,0.016,1.08,0.265,0.016
29,1.268,0.016,1.16,0.284,0.016
30,1.3,0.017,1.22,0.299,0.017
31,1.378,0.019,1.3,0.319,0.019
32,1.404,0.02,1.38,0.338,0.02
33,1.436,0.021,1.44,0.353,0.021
34,1.512,0.022,1.52,0.373,0.022
35,1.54,0.023,1.58,0.387,0.023
36,1.572,0.024,1.64,0.402,0.024
37,1.66,0.026,1.7,0.417,0.026
38,1.692,0.027,1.76,0.432,0.027
39,1.724,0.028,1.82,0.446,0.028
40,1.794,0.029,1.88,0.461,0.029
41,1.82,0.03,1.94,0.476,0.03
42,1.852,0.031,2,0.49,0.031
43,1.937,0.033,2.04,0.5,0.033
44,1.964,0.034,2.1,0.515,0.034
45,1.988,0.034,2.14,0.525,0.034
46,2.076,0.037,2.18,0.534,0.037
47,2.108,0.037,2.24,0.549,0.037
48,2.132,0.038,2.28,0.559,0.038
49,2.182,0.039,2.32,0.569,0.039
50,2.212,0.04,2.36,0.579,0.04
51,2.244,0.041,2.4,0.588,0.041
52,2.297,0.042,2.42,0.593,0.042
53,2.324,0.043,2.46,0.603,0.043
54,2.348,0.043,2.48,0.608,0.043
55,2.429,0.045,2.52,0.618,0.045
56,2.46,0.046,2.56,0.628,0.046
